YEAR,COUNTY,NUMBER_OF_ED_VISITS,AGE_ADJUSTED_ED_VISIT_RATE,AGE
2016,Mendocino,255,60.96666666666667,adult
2016,Mendocino,103,69.83333333333333,child
2016,Merced,1142,55.775,adult
2016,Merced,978,120.62727272727274,child
2016,Modoc,37,100.8,adult
2016,Mono,17,21.7,adult
2016,Mono,12,65.9,child
2016,Monterey,1149,38.18666666666666,adult
2016,Monterey,713,67.02307692307691,child
2016,Napa,271,29.95,adult
2016,Napa,133,51.333333333333336,child
2016,Nevada,188,29.0,adult
2016,Nevada,36,46.55,child
2016,Orange,4839,20.294520547945204,adult
2016,Orange,3744,51.83787878787879,child
2016,Placer,624,29.018181818181816,adult
2016,Placer,266,40.78888888888889,child
2016,Plumas,51,72.55,adult
2016,Riverside,5519,35.08387096774193,adult
2016,Riverside,3821,64.45192307692308,child
2016,Sacramento,6009,57.504651162790694,adult
2016,Sacramento,2735,82.60810810810811,child
2016,San Benito,135,36.9,adult
2016,San Benito,112,76.9,child
2016,San Bernardino,6314,44.607692307692304,adult
2016,San Bernardino,4518,84.53777777777778,child
2016,San Diego,5768,23.16849315068493,adult
2016,San Diego,3938,53.969565217391306,child
2016,San Francisco,2002,45.09583333333333,adult
2016,San Francisco,876,78.36111111111111,child
2016,San Joaquin,2610,56.592,adult
2016,San Joaquin,1540,82.91904761904762,child
2016,San Luis Obispo,578,31.758333333333336,adult
2016,San Luis Obispo,215,65.78750000000001,child
2016,San Mateo,1570,30.378947368421056,adult
2016,San Mateo,743,49.258823529411764,child
2016,Santa Barbara,893,30.086666666666666,adult
2016,Santa Barbara,635,78.07000000000001,child
2016,Santa Clara,3631,25.424444444444443,adult
2016,Santa Clara,1545,35.69736842105263,child
2016,Santa Cruz,496,23.12727272727273,adult
2016,Santa Cruz,297,52.92,child
2016,Shasta,412,35.15714285714286,adult
2016,Shasta,210,65.4,child
2016,Siskiyou,54,46.15,adult
2016,Siskiyou,12,54.5,child
2016,Solano,2255,70.78181818181818,adult
2016,Solano,1064,109.75,child
2016,Sonoma,1055,28.8125,adult
2016,Sonoma,482,50.916666666666664,child
2016,Stanislaus,1647,42.182352941176475,adult
2016,Stanislaus,1030,71.16666666666667,child
2016,Sutter,181,26.866666666666664,adult
2016,Sutter,113,53.46666666666667,child
2016,Tehama,207,59.6,adult
2016,Tehama,92,75.5,child
2016,Tulare,949,32.57857142857143,adult
2016,Tulare,878,63.57333333333334,child
2016,Tuolumne,146,64.16666666666667,adult
2016,Tuolumne,33,72.7,child
2016,Ventura,1394,22.85,adult
2016,Ventura,1109,55.05555555555556,child
2016,Yolo,452,31.25714285714286,adult
2016,Yolo,271,62.300000000000004,child
2016,Yuba,172,41.75,adult
2016,Yuba,81,44.6,child
2017,Alameda,5714,44.644444444444446,adult
2017,Alameda,3111,94.2625,child
2017,Amador,126,56.94,adult
2017,Amador,12,68.0,child
2017,Butte,683,46.52222222222222,adult
2017,Butte,198,50.07142857142857,child
2017,Calaveras,105,104.275,adult
2017,Calaveras,17,60.7,child
2017,Colusa,12,25.6,adult
2017,Contra Costa,4476,45.486111111111114,adult
2017,Contra Costa,2142,77.97142857142856,child
2017,Del Norte,89,49.8,adult
2017,Del Norte,45,95.5,child
2017,El Dorado,406,45.525,adult
2017,El Dorado,111,38.1,child
2017,Fresno,3302,54.981818181818184,adult
2017,Fresno,4252,150.4764705882353,child
2017,Glenn,87,51.3,adult
2017,Glenn,15,35.4,child
2017,Humboldt,555,76.86666666666666,adult
2017,Humboldt,130,71.34,child
2017,Imperial,562,46.642857142857146,adult
2017,Imperial,627,139.85,child
2017,Inyo,54,59.5,adult
2017,Inyo,26,93.8,child
2017,Kern,2548,50.56296296296296,adult
2017,Kern,2149,89.74347826086957,child
2017,Kings,557,53.260000000000005,adult
2017,Kings,465,110.6,child
2017,Lake,342,77.25,adult
2017,Lake,60,105.75,child
2017,Lassen,83,53.150000000000006,adult
2017,Lassen,18,52.2,child
2017,Los Angeles,30079,37.53372093023256,adult
2017,Los Angeles,18758,76.06565217391304,child
2017,Madera,398,33.11666666666667,adult
2017,Madera,540,116.74000000000001,child
2017,Marin,352,23.869999999999997,adult
2017,Marin,108,37.8,child
2017,Mariposa,41,67.5,adult
2017,Mendocino,330,70.4,adult
2017,Mendocino,142,107.26666666666667,child
2017,Merced,1143,55.98333333333333,adult
2017,Merced,855,122.58,child
2017,Modoc,43,146.6,adult
2017,Mono,29,36.7,adult
2017,Monterey,1103,37.18666666666666,adult
2017,Monterey,693,67.2,child
2017,Napa,359,34.32,adult
2017,Napa,141,53.26666666666667,child
2017,Nevada,206,33.64,adult
2017,Nevada,60,53.6,child
2017,Orange,5127,20.932000000000002,adult
2017,Orange,3735,49.9768115942029,child
2017,Placer,749,33.93636363636364,adult
2017,Placer,336,48.48888888888889,child
2017,Plumas,36,66.6,adult
2017,Riverside,6018,38.28333333333333,adult
2017,Riverside,3823,64.11132075471698,child
2017,Sacramento,6847,62.518604651162796,adult
2017,Sacramento,3077,91.66578947368421,child
2017,San Benito,189,44.65,adult
