,year,County Name,county,city,particle,measurement,days_recorded,avg_val,variance,min_val,percentile_10,percentile_25,percentile_75,percentile_90,max_val
131,2023,El Dorado,El Dorado,Not in a city,Ozone,Parts per million,365,0.03860367724137931,8.761925902551735e-05,0.013235,0.025447,0.032882,0.045353,0.0496234,0.069176
132,2023,Fresno,Fresno,Not in a city,Ozone,Parts per million,365,0.0327813426988524,0.0001405360719996922,0.000778,0.016647,0.024441499999999998,0.041147,0.047729600000000004,0.067
133,2023,Glenn,Glenn,Not in a city,Ozone,Parts per million,363,0.03010100826446281,5.364122346125749e-05,0.009882,0.0191414,0.025382500000000002,0.035353,0.038905800000000004,0.050529
134,2023,Humboldt,Humboldt,Eureka,Ozone,Parts per million,365,0.023529164383561646,5.7954166192684026e-05,0.004294,0.0129362,0.017941,0.028882,0.032882,0.053588
135,2023,Imperial,Imperial,Calexico,Ozone,Parts per million,365,0.035871736593059936,0.00012324203651304028,0.0048,0.021041300000000002,0.02804425,0.0439705,0.050588,0.066588
136,2023,Inyo,Inyo,Not in a city,Ozone,Parts per million,365,0.03522593078512397,0.00016560954241195752,0.008059,0.019629300000000002,0.024765,0.04377975,0.05415310000000001,0.070882
137,2023,Kern,Kern,Not in a city,Ozone,Parts per million,365,0.03617876860382707,0.00015812667798436667,0.004176,0.019176,0.027588,0.044882,0.052876200000000005,0.072
138,2023,Kings,Kings,Not in a city,Ozone,Parts per million,331,0.031874897959183676,0.00015693142176001877,0.001,0.015,0.021941,0.041647,0.047824,0.0647
139,2023,Lake,Lake,Lakeport,Ozone,Parts per million,365,0.025627583561643835,5.178461721621256e-05,0.001,0.0167532,0.021235,0.030353,0.0345644,0.044941
140,2023,Los Angeles,Los Angeles,Glendora,Ozone,Parts per million,365,0.031772653376354,0.00011360364471753778,0.0,0.017,0.024647,0.038588,0.044706,0.075
141,2023,Madera,Madera,Madera,Ozone,Parts per million,365,0.03126277123287671,9.826260873634546e-05,0.005529,0.0171643,0.023588,0.037941,0.0437709,0.061765
142,2023,Marin,Marin,San Rafael,Ozone,Parts per million,363,0.024833349862258956,5.8058274813722294e-05,0.005235,0.015353,0.019264499999999997,0.029941,0.035894,0.042077
143,2023,Mariposa,Mariposa,Not in a city,Ozone,Parts per million,365,0.04279126970227671,5.0846409355203225e-05,0.018706,0.033941,0.0385,0.046853,0.052235,0.067941
144,2023,Mendocino,Mendocino,Ukiah,Ozone,Parts per million,360,0.024360619444444447,8.256987491048445e-05,0.0,0.010911599999999999,0.01863225,0.030529,0.03648270000000001,0.046706
145,2023,Merced,Merced,Not in a city,Ozone,Parts per million,365,0.03228597534246575,0.0001235531907823574,0.001818,0.016317599999999998,0.024,0.040176,0.0466352,0.058059
146,2023,Monterey,Monterey,Carmel Valley Village,Ozone,Parts per million,365,0.027384528925619836,4.048189195159812e-05,0.009059,0.019235,0.022941,0.031706,0.035788400000000005,0.045706
147,2023,Nevada,Nevada,Grass Valley,Ozone,Parts per million,141,0.042902524822695035,3.886695880830803e-05,0.030235,0.035059,0.039118,0.045118,0.050294,0.062588
